number,value,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,tickLowerFeeGrowthOutside0X128,tickLowerFeeGrowthOutside1X128,tickUpperFeeGrowthOutside0X128,tickUpperFeeGrowthOutside1X128
16219693,82842088205676834103,2302457180693885351454651093163492,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16222093,84898491564198652074,2318747899162385489001287554456344,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16224493,80092841522770927225,2280425969616657314568929983238151,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16226893,78288952031880078473,2266012770497242894086255374140612,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16229293,78850212964590692996,2270435262486917424056195007509857,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16231693,79515235678271450063,2275703596294866001551435142483199,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16234093,79170348939707278647,2272920569657780836424575412085603,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16236493,79526221245854618910,2275732877226366029629403759490668,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16238893,79403062806644208464,2274740167921692629443616837354464,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
16241293,82661526985265797436,2300631716006577619818717260285935,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,1393656399265835958400432365478238,469084236536909735783480907904185705098323,16135690167877559310441066210227,16877614646547330905045933142853237122340
