number,value,ETH / USD,STETH / ETH ETH/USD Composite
14854847,11014,176093245184,172413142567
14855147,11014,176136307853,172455305287
14855447,10978,173518000000,169329049906
14855747,10978,172545074579,168379612170
14856047,10978,174412775084,170202223956
14856347,10978,175224279532,170994137632
14856647,10978,174281265000,170073888697
14856947,10978,172448000000,168284881097
14857247,10978,173197702507,169016484811
14857547,10978,173606323171,169415240841
14857847,10978,172858073598,168685054985
14858147,10978,175628000000,171388111763
14858447,10978,176359071312,172101534063
14858747,10978,177219250317,172940947229
14859047,10978,176584639520,172321656761
14859347,10978,175647863293,171407495530
14859647,10978,175660809225,171420128931
14859947,10978,176020320000,171770960648
14860247,10978,177254173768,172975027582
14860547,10978,178856500844,174538672400
14860847,10978,178533000000,174222981287
14861147,10978,179891054053,175548250149
14861447,10978,179630000000,175293498281
14861747,11002,177266025000,173361957126
14862047,11002,178628931619,174694847390
14862347,11002,178682793526,174747523055
14862647,11002,179123851264,175178867034
14862947,11002,178609702095,174676041373
14863247,11002,179461000000,175508590481
14863547,11002,179081990982,175137928674
14863847,11002,177570344084,173659573954
14864147,11002,176740000000,172847517185
14864447,11002,177527000000,173617184470
14864747,11002,177566470000,173655785192
14865047,11002,177957307608,174038015079
14865347,11002,178177500000,174253358002
14865647,11002,178459000000,174528658308
14865947,11002,178840592979,174901847167
14866247,11002,178954352957,175013101720
14866547,11002,181642669417,177642211291
14866847,11002,181032000000,177044991123
14867147,11002,179800000000,175840124419
14867447,11002,179647000000,175690494058
14867747,11002,180362048893,176389794871
14868047,10994,179813000000,175735837324
14868347,10994,178731720212,174679074971
14868647,10994,179418236505,175350024878
14868947,10994,180199601827,176113673163
14869247,10994,181125396821,177018476255
14869547,10994,181080713916,176974806511
14869847,10994,183417358774,179258469209
14870147,10994,187030390000,182789576903
14870447,10994,187771000000,183513393971
14870747,10994,187303000000,183056005618
14871047,10994,190002218394,185694020693
14871347,10994,190775060000,186449338533
14871647,10994,190718900000,186394451930
14871947,10994,190437040000,186118982954
14872247,10994,189468064477,185171978427
14872547,10994,188834911313,184553181669
14872847,10994,187856000000,183596466642
14873147,10994,190227258428,185913958065
14873447,10994,190829469670,186502514493
14873747,10994,192133000000,187776487976
14874047,11032,192745661574,189014706932
14874347,11032,192219000000,188498239883
14874647,11032,192478054050,188752279455
14874947,11032,198672027083,194826356495
14875247,11032,199224000000,195367644938
14875547,11032,199411457859,195551474198
14875847,11032,199117409175,195263117379
14876147,11032,198522473832,194679698128
14876447,11032,199382030993,195522616944
14876747,11032,199284680000,195427150363
14877047,11032,198658844279,194813428869
14877347,11032,196451363550,192648678079
14877647,11032,197025239887,193211445961
14877947,11032,196517000000,192713044013
14878247,11032,196479389876,192676161903
14878547,11032,197739587481,193911966014
14878847,11032,196212505876,192414443945
14879147,11032,194247906229,190487872817
14879447,11032,195916280000,192123952077
14879747,11032,197541771658,193717979289
14880047,11032,195726000000,191937355305
14880347,11028,195289935070,191446174122
14880647,11028,193525152673,189716126754
14880947,11028,194660000000,190828637642
14881247,11028,194589760092,190759780219
14881547,11028,195272215797,191428803605
14881847,11028,194613580000,190783131295
14882147,11028,194783000000,190949216715
14882447,11028,193460843920,189653083747
14882747,11028,192998000000,189199349674
14883047,11028,193158000000,189356200501
14883347,11028,193098522717,189297893870
14883647,11028,193637535662,189826297784
14883947,11028,193652945000,189841403831
14884247,11028,194163750000,190342154998
14884547,11028,193505500000,189696860892
14884847,11028,194721491359,190888918707
14885147,11028,196332153401,192467879168
14885447,11028,190852447770,187096026911
14885747,11028,187809000000,184112481285
14886047,11028,184764905355,181128301515
14886347,11043,184208834971,180823916576
14886647,11043,181495340266,178160283530
14886947,11043,178024561591,174753281940
14887247,11043,180138467811,176828344204
14887547,11043,181750000000,178410263780
14887847,11043,181598710958,178261754740
14888147,11043,181868833144,178526913312
14888447,11043,183045707689,179682162270
14888747,11043,181888260664,178545983843
14889047,11043,181509247280,178173934997
14889347,11043,181988240000,178644126015
14889647,11043,182194618061,178846711788
14889947,11043,182562000000,179207342922
14890247,11043,182352636695,179001826760
14890547,11043,182969000000,179606864118
14890847,11043,183944420000,180564360346
14891147,11043,182932043606,179570586814
14891447,11043,179992045953,176684612912
14891747,11043,181591677806,178254850825
14892047,11043,182116000000,178769538368
14892347,11027,181979470311,178374826422
14892647,11027,180838700000,177256652455
14892947,11027,181796000000,178194990285
14893247,11027,182668000000,179049717736
14893547,11027,184719957017,181061029650
14893847,11027,183685015496,180046588219
14894147,11027,183299532412,179668740772
14894447,11027,183831144057,180189822270
14894747,11027,183189000000,179560397783
14895047,11027,182783262573,179162697191
14895347,11027,182065500000,178459152037
