number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16219721,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219722,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219723,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219724,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219725,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219726,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219727,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219728,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219729,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219730,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219731,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219732,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219733,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
16219734,2981191031190,149811865763280995714031803,179765246450053705933358,49724147985024,299470579545,42281231946791852869433,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16694403326348875381982,1184970433901912630243
