number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16048834,0,145591081457247749164755324,175838661986383773807349,48373063351835,299580890894,40598668028660540586586,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16297689178988374034754,1192423220185360871045
16048834,0,145591081457247749164755324,175838661986383773807349,48373063351835,299580890894,40598668028660540586586,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16297689178988374034754,1192423220185360871045
16048835,0,145591081457247749164755324,175838661986383773807349,48373063351835,299580890894,40598668028660540586586,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16297689178988374034754,1192423220185360871045
16048836,0,145591081457247749164755324,175838661986383773807349,48373063351835,299580890894,40598668028660540586586,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16297689178988374034754,1192423220185360871045
16048834,0,145591081457247749164755324,175838661986383773807349,48373063351835,299580890894,40598668028660540586586,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16297689178988374034754,1192423220185360871045
